from_stop_id,to_stop_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
100,100,saturday-40B,saturday-41B,4,0
100,100,saturday-41B,saturday-42B,4,0
100,100,saturday-42B,saturday-43B,4,0
100,100,saturday-43B,saturday-44B,4,0
100,100,saturday-44B,saturday-45B,4,0
100,100,saturday-45B,saturday-46B,4,0
100,100,saturday-46B,saturday-47B,4,0
100,100,saturday-47B,saturday-48B,4,0
100,100,saturday-48B,saturday-49B,4,0
100,100,saturday-49B,saturday-50B,4,0
100,100,saturday-50B,saturday-51B,4,0
100,100,saturday-51B,saturday-52B,4,0
100,100,saturday-52B,saturday-53B,4,0
100,100,saturday-53B,saturday-54B,4,0
100,100,saturday-54B,saturday-55B,4,0
