trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
xmaseve-2A,22210,xmaseve,Loop,,0,xmaseve-A,69683,1,2
xmaseve-3A,22210,xmaseve,Loop,,0,xmaseve-A,69683,1,2
xmaseve-4A,22210,xmaseve,Loop,,0,xmaseve-A,69683,1,2
xmaseve-5A,22210,xmaseve,Loop,,0,xmaseve-A,69683,1,2
xmaseve-6A,22210,xmaseve,Loop,,0,xmaseve-A,69683,1,2
xmaseve-7A,22210,xmaseve,Loop,,0,xmaseve-A,69683,1,2
xmaseve-8A,22210,xmaseve,Loop,,0,xmaseve-A,69683,1,2
xmaseve-9A,22210,xmaseve,Loop,,0,xmaseve-A,69683,1,2
xmaseve-10A,22210,xmaseve,Loop,,0,xmaseve-A,69683,1,2
xmaseve-11A,22210,xmaseve,Loop,,0,xmaseve-A,69683,1,2
xmaseve-12A,22210,xmaseve,Loop,,0,xmaseve-A,69683,1,2
xmaseve-13A,22210,xmaseve,Loop,,0,xmaseve-A,69683,1,2
xmaseve-14A,22210,xmaseve,Loop,,0,xmaseve-A,69683,1,2
xmaseve-15A,22210,xmaseve,Loop,,0,xmaseve-A,69683,1,2
xmaseve-16A,22210,xmaseve,Loop,,0,xmaseve-A,69683,1,2
xmaseve-17A,22210,xmaseve,Loop,,0,xmaseve-A,69683,1,2
xmaseve-18A,22210,xmaseve,Loop,,0,xmaseve-A,69683,1,2
xmaseve-19A,22210,xmaseve,Loop,,0,xmaseve-A,69683,1,2
xmaseve-20A,22210,xmaseve,Loop,,0,xmaseve-A,69683,1,2
xmaseve-21A,22210,xmaseve,Loop,,0,xmaseve-A,69683,1,2
xmaseve-22A,22210,xmaseve,Loop,,0,xmaseve-A,69683,1,2
xmaseve-23A,22210,xmaseve,Loop,,0,xmaseve-A,69683,1,2
xmaseve-24A,22210,xmaseve,Loop,,0,xmaseve-A,69683,1,2
xmaseve-25A,22210,xmaseve,Loop,,0,xmaseve-A,69683,1,2
xmaseve-26A,22210,xmaseve,Loop,,0,xmaseve-A,69683,1,2
xmaseve-27A,22210,xmaseve,Loop,,0,xmaseve-A,69683,1,2
xmaseve-28A,22210,xmaseve,Loop,,0,xmaseve-A,69683,1,2
xmaseve-29A,22210,xmaseve,Loop,,0,xmaseve-A,69683,1,2
xmaseve-30A,22210,xmaseve,Loop,,0,xmaseve-A,69683,1,2
xmaseve-31A,22210,xmaseve,Loop,,0,xmaseve-A,69683,1,2
xmaseve-32A,22210,xmaseve,Loop,,0,xmaseve-A,69683,1,2
xmaseve-1B,22210,xmaseve,Loop,,0,xmaseve-B,69683,1,2
xmaseve-2B,22210,xmaseve,Loop,,0,xmaseve-B,69683,1,2
xmaseve-3B,22210,xmaseve,Loop,,0,xmaseve-B,69683,1,2
xmaseve-4B,22210,xmaseve,Loop,,0,xmaseve-B,69683,1,2
xmaseve-5B,22210,xmaseve,Loop,,0,xmaseve-B,69683,1,2
xmaseve-6B,22210,xmaseve,Loop,,0,xmaseve-B,69683,1,2
xmaseve-7B,22210,xmaseve,Loop,,0,xmaseve-B,69683,1,2
xmaseve-8B,22210,xmaseve,Loop,,0,xmaseve-B,69683,1,2
xmaseve-9B,22210,xmaseve,Loop,,0,xmaseve-B,69683,1,2
xmaseve-10B,22210,xmaseve,Loop,,0,xmaseve-B,69683,1,2
xmaseve-11B,22210,xmaseve,Loop,,0,xmaseve-B,69683,1,2
xmaseve-12B,22210,xmaseve,Loop,,0,xmaseve-B,69683,1,2
xmaseve-13B,22210,xmaseve,Loop,,0,xmaseve-B,69683,1,2
xmaseve-14B,22210,xmaseve,Loop,,0,xmaseve-B,69683,1,2
xmaseve-15B,22210,xmaseve,Loop,,0,xmaseve-B,69683,1,2
xmaseve-16B,22210,xmaseve,Loop,,0,xmaseve-B,69683,1,2
xmaseve-17B,22210,xmaseve,Loop,,0,xmaseve-B,69683,1,2
xmaseve-18B,22210,xmaseve,Loop,,0,xmaseve-B,69683,1,2
xmaseve-19B,22210,xmaseve,Loop,,0,xmaseve-B,69683,1,2
xmaseve-20B,22210,xmaseve,Loop,,0,xmaseve-B,69683,1,2
xmaseve-21B,22210,xmaseve,Loop,,0,xmaseve-B,69683,1,2
xmaseve-22B,22210,xmaseve,Loop,,0,xmaseve-B,69683,1,2
xmaseve-23B,22210,xmaseve,Loop,,0,xmaseve-B,69683,1,2
xmaseve-24B,22210,xmaseve,Loop,,0,xmaseve-B,69683,1,2
xmaseve-25B,22210,xmaseve,Loop,,0,xmaseve-B,69683,1,2
xmaseve-26B,22210,xmaseve,Loop,,0,xmaseve-B,69683,1,2
xmaseve-27B,22210,xmaseve,Loop,,0,xmaseve-B,69683,1,2
xmaseve-28B,22210,xmaseve,Loop,,0,xmaseve-B,69683,1,2
xmaseve-29B,22210,xmaseve,Loop,,0,xmaseve-B,69683,1,2
xmaseve-30B,22210,xmaseve,Loop,,0,xmaseve-B,69683,1,2
xmaseve-31B,22210,xmaseve,Loop,,0,xmaseve-B,69683,1,2
nyeve-1A,22210,nyeve,Loop,,0,nyeve-A,69683,1,2
nyeve-2A,22210,nyeve,Loop,,0,nyeve-A,69683,1,2
nyeve-3A,22210,nyeve,Loop,,0,nyeve-A,69683,1,2
nyeve-4A,22210,nyeve,Loop,,0,nyeve-A,69683,1,2
nyeve-5A,22210,nyeve,Loop,,0,nyeve-A,69683,1,2
nyeve-6A,22210,nyeve,Loop,,0,nyeve-A,69683,1,2
